제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
판피린티정,아세트아미노펜|클로르페니라민말레산염|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후통|오한|발열|관절통|두통|근육통)의완화에사용합니다.,성인은1회1정씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
페니라민정(클로르페니라민말레산염),클로르페니라민말레산염,이 약은 고초열(꽃가루알레르기비염)|두드러기|가려움성피부질환(습진|피부염|피부가려움증|약물발진)|알레르기비염|혈관운동성코염|코감기에의한재채기|콧물|기침|혈관운동성부기에사용합니다.,성인은1회1~3정(2~6mg)씩|1일2~4회복용합니다.1일12정(24mg)을초과하지마십시오.,상온에서 보관하십시오
프렌즈아이드롭점안액(순)|프렌즈아이드롭점안액(쿨)|프렌즈아이드롭점안액(쿨하이)|프렌즈아이드롭점안액(순)(1회용),염화나트륨|염화칼륨|포도당,이 약은 소프트콘택트렌즈또는하드콘택트렌즈를착용하고있을때의불쾌감|눈물보충(눈의건조)|눈의피로|눈의흐림(눈곱이많을때)에사용합니다.,1회2~3방울씩|1일5~6회점안(눈에넣음)합니다.점안후남은액과용기는바로버리십시오.(1회용에한함) ,습기와빛을 피해 실온에서 보관하십시오
프리비투스현탁액(레보클로페라스틴펜디조산염),레보클로페라스틴펜디조산염,이 약은 기침의완화에사용합니다.,성인은1일3회1회5mL|2~4세는1일2회1회2mL|4~7세는1일2회1회3mL| 7~15세는1일2회1회5mL를복용합니다.연령|증상에따라적절히증감할수있습니다.흔들어사용하십시오.,상온에서 보관하십시오
훼스탈골드정,판크레아틴|디아스타제·프로테아제·셀룰라제|프로자임6|리파제|셀룰라제|우르소데옥시콜산|시메티콘,이 약은 소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감에사용합니다.,성인은1회1정씩| 1일3회식후에씹지말고복용합니다.,습기와빛을 피해 실온에서 보관하십시오
훼스탈플러스정,판크레아틴|셀룰라제|우르소데옥시콜산|시메티콘,이 약은 소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감에사용합니다.,성인및15세이상은1회1~2정|만8세~만15세의소아는1회1정을1일3회식후에씹지말고복용합니다.,습기와빛을 피해 실온에서 보관하십시오
쎈비백정,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|비오틴|폴산|시아노코발라민1000배산|이노시톨|콜린타르타르산염|산화아연|토코페롤아세테이트2배산|셀레늄함유건조효모|콜레칼시페롤농축물(분말형)|산화마그네슘|감마오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|E|B1|B2|B6의보급과뼈|이의발육불량|구루병의예방|각기|눈의피로|신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화와아연의보급에사용합니다.,만8세이상및성인1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
1.포비딘인후스프레이액(포비돈요오드)(바닐라향)|2.포비딘인후스프레이액(포비돈요오드)(청포도향),포비돈요오드,이 약은 구강내살균소독|인두염|후두염|구내염|발치후및구내수술후살균소독|구취증에사용합니다.,1일수회적당량을분사도포합니다.,빛을 피해 실온에서 보관하십시오사용전열을가하지마십시오.
1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),아셀렌산나트륨오수화물,이 약은 영양공급으로보충될수없는셀레늄결핍환자에서셀레늄보급에사용합니다.,2mL(셀레늄으로서1일100µg)을복용하며|1일4mL(셀레늄으로200µg)까지증량할수있습니다.경구용액제를입안에서30초~1분정도머금고있다가천천히삼킵니다.이 약은 경구용으로만사용하고주사용으로는사용하지마십시오.,습기와빛을피해상온(15~25℃)에서보관하십시오.
1.셀레뉴원오랄액(아셀렌산나트륨오수화물)2.셀큐민185오랄액(아셀렌산나트륨오수화물),아셀렌산나트륨오수화물,이 약은 영양공급으로보충될수없는셀레늄결핍환자에서셀레늄보급에사용합니다.,2mL(셀레늄으로서1일100µg)을복용하며|1일4mL(셀레늄으로200µg)까지증량할수있습니다.경구용액제를입안에서30초~1분정도머금고있다가천천히삼킵니다.이 약은 경구용으로만사용하고주사용으로는사용하지마십시오.,습기와빛을피해상온(15~25℃)에서보관하십시오.
1.영진구론산바몬드액2.영진구론산바몬드스파클링액,글루쿠로노락톤|오로트산수화물|카페인무수물|니코틴산아미드|리보플라빈|피리독신염산염,이 약은 자양강장|피로회복에사용합니다.,15세이상및성인은1회1병|1일1~2회복용합니다.이 약은 경구용으로만사용하고주사용으로는사용하지마십시오.,습기와빛을 피해 실온에서 보관하십시오
1.큐앤큐포비돈거즈볼중(포비돈요오드)2.큐앤큐포비돈거즈볼대(포비돈요오드),포비돈요오드,이 약은 찢긴상처|화상|창상의살균소독|궤양|농양의살균소독|감염피부면의소독|수술부위의살균소독|주사및카테터부위의소독에사용합니다.,1일수회(여러차례)환부(질환부위)에적당량을바릅니다.,빛을 피해 실온에서 보관하십시오
5엠씨크림(리도카인),리도카인,이 약은 남성성기촉각의예민성감소에사용합니다.,성교5~15분전에크림으로서0.25~0.66g(리도카인으로서23~62mg)을도포합니다.용량과적용시간은개인에따라다르며최저유효량을사용하되24시간이내에최대2g(리도카인으로서184mg)을초과하여투여하지않습니다.,상온에서 보관하십시오
가네진정,오로트산카르니틴|항독성간장엑스|아데닌염산염|피리독신염산염|리보플라빈|시아노코발라민100배산,이 약은 만성간염|독성간질환의보조치료에사용합니다.,성인은1회1정1일2～3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가네치온정100밀리그램(글루타티온(환원형)),글루타티온(환원형),이 약은 약물중독|자가중독에사용합니다.,성인은글루타티온으로써1회50100mg|1일13회복용하십시오.연령|증상에따라적절히증감하십시오.,상온에서 보관하십시오어린이의손에닿지않는곳에보관하십시오.
가네카정,트리프롤리딘염산염수화물|슈도에페드린염산염,이 약은 코감기|알레르기및혈관운동성코염에의한재채기|콧물|코막힘|눈물의완화에사용합니다.,성인은1회1정|소아(12~14세)는1회1/2정을1일3회매식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가네타인액,L아르기닌|베타인|베타인염산염|시트르산수화물,이 약은 간질환의보조치료에사용합니다.,성인은1일10~30mL를식간에분할복용합니다.이약10mL를약반컵의물에희석(묽게)하여복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가네탑골드연질캡슐,밀크시슬열매건조엑스|티아민질산염|피리독신염산염|니코틴산아미드|판토텐산칼슘|시아노코발라민,이 약은 만성간질환|간경변|독성간질환의보조치료에사용합니다.,성인은1회1캡슐1일3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가네톡액,L아르기닌|베타인|베타인염산염|시트르산수화물,이 약은 간질환의보조치료에사용합니다.,성인은1일10~30mL를식간에분할복용합니다.이약10mL를약반컵의물에희석하여복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가넥트액,벤포티아민|리보플라빈포스페이트나트륨|피리독신염산염|니코틴산아미드|우르소데옥시콜산|베타인염산염,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6의보급에사용합니다.이 약은 함유된비타민등을통해신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.이 약은 함유된비타민등을통해각기|눈의피로에사용합니다.,만19세이상성인은1회1병씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가두벌크림,디펜히드라민|l멘톨|디부카인염산염|dl캄파|에녹솔론,이 약은 벌레물린데|피부가려움|습진|두드러기|피부염|땀띠|동창에사용합니다.,1일수회환부에적당량을바릅니다.,습기와빛을 피해 실온에서 보관하십시오
가딘정75밀리그램(라니티딘염산염),라니티딘염산염,이 약은 위산과다|속쓰림|신트림에사용합니다.,16세이상은1회1정(75mg)|1일2정(150mg)까지복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가레오액(디히드록시디부틸에테르),디히드록시디부틸에테르,이 약은 소화불량증상(복부팽만감|소화의지연|트림|구역)의개선에사용합니다.,성인은1회0.5~1.0g을1일1~3회식전에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가레오연질캡슐(디히드록시디부틸에테르),디히드록시디부틸에테르,이 약은 소화불량증상(복부팽만감|소화의지연|트림|구역)의개선에사용합니다.,성인은1회2~4캡슐(0.5∼1.0g)을1일1∼3회식전에씹지말고삼켜복용합니다.,습기와빛을 피해 실온에서 보관하십시오
가레오연질캡슐500밀리그램(디히드록시디부틸에테르),디히드록시디부틸에테르,이 약은 소화불량증상(복부팽만감|소화의지연|트림|구역)의개선에사용합니다.,성인은1회1~2캡슐(0.5~1.0g)을1일1~3회식전에씹지말고삼켜복용합니다.,습기와빛을피해보관하십시오.
가소콜액(시메티콘)(군납용:시메티콘현탁액500밀리리터|SimethiconeOralSuspension500ml),시메티콘,이 약은 위내시경검사시장내기포제거|복부X선촬영시장내가스제거|위장관내가스로인한복부증상(복부팽만감|공기연하증등)의개선에사용합니다.,성인은위내시경검사시장내기포제거에는검사15~40분전에40~80mg을약10mL의물과함께복용|복부X선검사시장내가스제거에는검사3~4일전부터1회40~80mg1일3회식후또는식간에복용|위장관내가스로인한복부증상의개선에는1회40~80mg1일3회식후또는취침시에복용합니다.연령|증상에따라적절히증감합니다.,습기와빛을피해보관하십시오.
