제품명,업체명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?
헤모글루탑연질캡슐,동방에프티엘(주),글루콘산제일철수화물|니코틴산아미드|피리독신염산염|시아노코발라민0.1%|폴산|오로트산수화물|아스코르브산,이약은철결핍성빈혈의예방및치료에사용합니다.이약은육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시비타민B6|C의보급에사용합니다.,만8세이상및성인은1회1캡슐씩|1일1회식후복용합니다.,이약에과민증환자|콩또는땅콩과민증환자|대두유과민증환자또는경험자|만12개월미만의젖먹이|혈색소증(철대사이상으로철이간장|이자(췌장)에침착하는질환)|헤모시데린침착증|비철결핍성빈혈환자는이약을복용하지마십시오.이약을복용하기전에만1세미만의젖먹이|임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|심장·순환기계기능장애|신장장애환자|고옥살산뇨증(요중에과량의수산염이배설되는상태)|위장질환(소화성궤양|만성궤양성대장염|국한성대장염등)|저단백혈증|통풍또는신장결석환자|지방대사이상(고지단백혈증|당뇨병성고지질혈증|췌장염등)환자|지질성유제를신중히투여해야하는환자|황색5호(선셋옐로우FCF)및적색40호(알루라레드AC)과민증환자또는경험자는의사또는약사와상의하십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.폴산이부족한환자|지방과부하환자는의사또는약사와상의하십시오.어린이에게투여할경우에는보호자의지도·감독하에투여하십시오.각종요검사시혈당의검출을방해할수있습니다.정해진용법과용량을잘지키십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파를복용하지마십시오.항알도스테론제|트리암테렌과병용투여시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|두드리기|가려움|광선과민반응|복부·위통증|경련|열|혼수등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
헬스리바액,(주)테라젠이텍스,L-아르기닌|시트르산수화물|베타인염산염|베타인,이약은간질환의보조치료에사용합니다.,성인은1일10~30mL를식간에분할복용합니다.이약10mL를약반컵의물에희석하여복용합니다.,신질환|심근경색및경험자는이약을복용하지마십시오.이약은?알콜?중독시해독제로사용할수없습니다.1개월정도복용하여도개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.이약은내복용으로만사용하고주사용으로사용하지마십시오.,-,이상반응이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
아이티어플러스점안액,신일제약(주),염화나트륨|염화칼륨|포도당,이약은소프트콘택트렌즈또는하드콘택트렌즈를착용하고있을때의불쾌감|눈물보충(눈의건조)|눈의피로|눈의흐림(눈곱이많을때)에사용합니다.,1회2~3적|1일5~6회점안(눈에넣음)합니다.,이약을사용하기전에이약에과민증환자|?알레르기체질인환자|눈의?통증이심한환자|녹내장환자는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.정해진용법과용량을잘지키십시오.이약은점안용으로만사용하십시오.다른사람과함께사용하지마십시오.사용기한을경과한제품은사용하지말고사용기한내에있더라도개봉후에는신속히사용하십시오.,-,발진|발적(충혈되어붉어짐)|가려움|부기|하드콘택트렌즈를장착한환자에서눈곱등의분비물이많고|렌즈가흐려지는경우사용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
유린쿨캡슐,진양제약(주),L-글루탐산|L-알라닌|글리신,이약은전립선비대에의한배뇨(소변을눔)곤란·잔뇨및잔뇨감·빈뇨에사용합니다.,성인은1회2캡슐씩|1일3회복용합니다.,약에의한알레르기환자또는경험자는이약을복용하지마십시오.정해진용법과용량을잘지키십시오.,-,때때로일과성(한번나타나고없어지는)의위통|두통|가슴쓰림|위부팽만감|식욕부진|구기(메스꺼움)등이나타날수있습니다.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
헤파겔액(L-아스파르트산-L-오르니틴),(주)텔콘알에프제약,L-아스파르트산-L-오르니틴,이약은간경변과같은중증의간질환해독의보조치료에사용합니다.,1회2포(6g)씩|1일2회식후에복용합니다.,심한신부전환자(혈청크레아티닌수치?3mg/100mL이상)는이약을복용하지마십시오.이약을복용하기전에아세틸살리실산에과민증|황색5호에과민증환자또는경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.2주정도복용하여도증상의개선이없는경우복용을중지하고?의사또는약사와상의하십시오.,-,천식등과민반응이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
엠비오캡슐(엔테로코쿠스페슘스트레인세르넬레68균),(주)인트로바이오파마,엔테로코쿠스페슘스트레인세르넬레68균ME,이약은장내균총이상(항생물질|화학요법제투여등)에의한정장|변비|묽은변|복부팽만감|장내이상발효의개선에사용합니다.,성인은1회1캡슐(30mg)씩|1일3회복용합니다.연령|증상에따라적절히증감할수있습니다.,갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에황색5호에과민증환자또는경험자|?3개월미만의영아는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,암피실린|클로람페니콜|세팔로리딘과?함께사용시?의사또는약사와상의하십시오.,-,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
엔디스캡슐(에르도스테인),삼천당제약(주),에르도스테인,이약은급ㆍ만성호흡기질환에서의점액용해및거담에사용합니다.,성인은1회1캡슐(300mg)을1일2~3회복용합니다.급성호흡기질환에복용?시연속으로10일이상복용하지않습니다.,이약에과민증환자|간경변|?시스타티오닌합성효소결핍|?소화성궤양|?중증신장장애(크레아티닌청소율이이약을복용하기전에경증및중등도간장애환자|임부또는임신하고있을가능성이있는여성및수유부|황색5호에과민증인환자는의사또는약사와상담하십시오.,기침약을복용중인사람은의사또는약사와상의하십시오.,두통|감기|호흡곤란|미각이상|구역|구토|설사|상복부통|복통|속쓰림|두드러기|홍반|습진등이나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
모가프텐트로키(플루르비프로펜),동화약품(주),플루르비프로펜,이약은인후염의단기증상완화에사용합니다.,성인|12세이상어린이및청소년은이약1개를입안에서서서히녹여서복용합니다.국소자극을피하기위해입안에서굴리면서복용합니다.필요시3~6시간간격으로1일최대5개를복용하며최대3일간사용하십시오.,이약또는?아스피린|다른비스테로이드성소염진통제에과민증환자|?소화성궤양|출혈|아스피린또는다른비스테로이드성소염진통제에의한천식(천식발작포함)|두드러기|기관지경련|비염또는경험자|중증심기능부전|비스테로이드성소염진통제|항류마티스제에의한위장관출혈또는천공|중증대장염|중증혈액이상환자|불분명한조혈장애|중증간장애|중증신장애|임신후기3개월인임부|유전성과당불내증|포도당-갈락토오스흡수장애|백당-이소말타아제결핍증환자는이약을복용하지마십시오.이약을복용하기전에?기관지천식또는그경험자|심기능부전환자및신장|간장애|고혈압|?혈액이상또는그경험자|출혈경향이있는환자|고령자|말초동맥폐색증|뇌혈관질환|고지혈증|당뇨병|흡연자|고초열|코폴립|만성폐쇄성폐질환|임신초기및중기의임부|체액저류|심부전환자는?의사또는약사와상의하십시오.이약복용후어지러움및시각장애가나타날수있으므로운전및기계조작시주의하십시오.,COX-2저해제를포함하여다른비스테로이드성소염진통제|아스피린등혈소판응집억제제|글루코코르티코이드|칼륨보전이뇨제|안지오텐신전환효소억제제|안지오텐신II길항제|싸이클로스포린|메토트렉세이트|디곡신|페니토인|퀴놀론계항균제|푸로세미드이뇨제|경구용항응혈제(예:와파린)|항고혈압제|리튬제제|미페프리스톤|프로베네시드|설핀피라존을함께복용하지마십시오.?비스테로이드성?소염제(NSAIDs)와?함께복용시의사또는약사와상의하십시오.,두통|어지러움|불면증|졸림|시각장애|미각이상|구역|구토|변비|설사|고창|소화성궤양및천공및출혈|궤양성구내염|소화불량|복통|혈변|위염|천공악화|혀종창|구강내열감및화끈감|구강궤양|구강건조|매우드물게황달|간기능수치의상승|치명적전격성간염|간괴사|간부전|심부전증등심장애|고혈압|백혈구감소증|매우드물게재생불량빈혈|매우드물게무과립구증|매우드물게저혈소판증|출혈시간연장|기도협착을동반한내부후두종창|호흡곤란|부종|급성신부전증|신증후군|간질성신장염|체액저류|탈모증|탈락성피부염|스티븐스-존슨증후군|독성표피괴사용해(리엘증후군)와같은수포성질환|안면종창|두드러기|발진|볼점막의일시적인자극|과민성반응(발진및가려움증|천식발작)|심혈관계혈전반응|심근경색증|뇌졸증등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
히트펜정,(주)라이트팜텍,에페드린염산염|카페인무수물|아세트아미노펜,이약은감기의여러증상(기침|가래|인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,성인은1회1회정씩|1일3회식후30분에복용합니다.,이약에과민증환자|다른해열진통제|감기약복용시천식을일으킨적이있는사람|만3개월미만의영아|MAO억제제(항우울제|항정신병제|감정조절제|항파킨슨제등)를복용하고있거나복용을중단한후2주이내의사람|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이|만3개월이상및만2세미만의영ㆍ유아|알레르기등을일으키기쉬운체질|간장질환|신장질환|심장질환|갑상선질환|당뇨병|고혈압|위십이지장궤양|고령자(노인)|몸이약한사람또는고열이있는사람|속쓰림|위부불쾌감|위통과같은위장문제가지속혹은재발되거나궤양|출혈문제를가지고있는사람|임부또는임신하고있을가능성이있는여성|수유부는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,아세트아미노펜을포함하는다른제품|MAO억제제(항우울제|항정신병제|감정조절제|항파킨슨제등)|진해거담제|다른감기약|해열진통제|진정제|항히스타민제를함유하는내복약(비염용경구제|멀미약|알레르기용약)|디펜히드라민을함유하는제제(피부에적용하는제제포함)는사용하지마십시오.바르비탈계약물|삼환계항우울제및알코올을투여한환자는의사또는약사와상의하십시오.복용중에는음주하지마십시오.,발진·발적(충혈되어붉어짐)|가려움|구역·구토|식욕부진|변비|부종(부기)|어지러움|불안|떨림|불면|쇽증상(복용후바로두드러기|부종(부기)|가슴답답함등과함께안색이창백하고|손발이차고|식은땀|숨쉬기곤란함)|피부점막안증후군(스티븐스-존슨증후군)|독성표피괴사용해(리엘증후군:고열을동반하고발진·발적|화상과같이물집이생기는등의심한증상)|천식|전신의나른함|황달(피부또는눈의흰자위가황색을띄게됨)|간질성폐렴(기침을동반하고|숨이차고|호흡곤란|발열)등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
헥시타놀2%액,(주)퍼슨,이소프로판올|클로르헥시딘글루콘산염액,이약은수술전환자의피부소독|주사기바늘|카테타삽입전환자의피부소독에사용합니다.,희석하지않고바로사용합니다.,이약에과민증환자|?2개월이하의영유아는이약을사용하지마십시오.수술기구소독|뇌|척수|눈|귀(내이|중이|외이)|점막(특히생식기점막)에사용하지마십시오.이약을사용하기전에다른약물에과민증환자|알레르기체질인환자는의사또는약사와상의하십시오.외용으로만사용하고?복용및주사하지마십시오.눈에들어가지않도록주의하고|?만약들어갔을경우즉시깨끗한물로잘씻어내십시오.비누류는이약의살균작용을약화시키므로충분히씻어제거한후사용하십시오.이약은섬유|헝겊(면|거즈|울|레이온등)에흡착되므로용액에적셔서사용시유효농도이상이아닐경우새로운용액을공급하십시오.인화성액체이므로주의하십시오.전기기구사용전에건조시키십시오.,-,드물게쇽증상(구역|불쾌감|식은땀|어지러움|답답함|호흡곤란|발적)|과민증상(때때로발진|두드러기)|광감작등이나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.
신일세티리진정(세티리진염산염),신일제약(주),세티리진염산염,이약은계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부소양증과?하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,이약?및히드록시진또는피페라진유도체에과민증환자|신부전|?임부및임신하고있을가능성이있는여성및수유부|6세미만의유아|?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에?신장애|간장애|노인|?간질환자및발작위험성이있는환자|?소변고임의선행요인(척수병변|전립선비대증등)이있는환자는의사또는약사와상의하십시오.,이약을복용하는동안테오필린|리토나비어|과량의알코올과함께복용하지마십시오.?,졸음|두통|때때로권태감|마비감|무력증|초조|감각이상|드물게가볍고일시적인나른함|피로|어지러움|머리무거움|흥분|경련|운동이상|근육긴장이상|실신|떨림|공격성|혼돈|우울|환각|불면증|틱장애|기억상실|기억장애|자살관념|악몽|때때로목마름|입술건조감|구역|식욕부진|위부불쾌감|소화불량|복통|위통|복부불쾌감|설사|드물게구토|위장장애|입술염|미각이상|식욕증진|드물게빠른맥|부정맥|혈압상승|때때로두근거림|혈관염|때때로백혈구감소|호중구감소|림프구증가|호산구증가|드물게단구증가|혈소판증가|혈소판감소|광과민증|드물게과민증및과민성쇼크|때때로부기|가려움|발진|드물게두드러기|혈관신경성부종|고정약물발진|급성전신발진농포증|드물게흐린시력|결막충혈|안조절장애|전후축의안구운동|현기증|때때로AST|ALT|ALP|총빌리루빈|&gamma;-GTP|LDH의상승등간기능장애|황달|간염|BUN상승|당뇨|피섞인소변|드물게배뇨곤란|야뇨증|소변고임|관절통|인두염|기침|코피|기관지경련|청력이상|시각이상|때때로가슴통증|드물게월경불순|귀울림|비염|체중증가가나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.이약복용중단후가려움증|두드러기등이나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
코키즈펜시럽(덱시부프로펜),코오롱제약(주),덱시부프로펜,이약은급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)씩|?4~6시간간격으로필요시?복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아는1일최대25mL(300mg)을초과하지않습니다.연령대별1회권장용량은허가사항을참고하십시오.,이약에과민증환자|소화성궤양|?심한혈액이상|심한간장애|심한신장장애|심한심장기능부전|심한고혈압|기관지천식또는경험자|아스피린이나다른?비스테로이드성?소염진통제에?천식|두드러기또는알레르기반응경험자|관상동맥(심장동맥)우회로술(CABG)전후통증치료환자|임부또는임신하고있을가능성이있는여성및수유부|신생아및6개월미만의영아|고령자는이약을복용하지마십시오.이약을복용하기전에소화성궤양경험자|혈액이상또는경험자|출혈경향이있는환자|간장애또는경험자|?신장애또는경험자|심장기능부전|고혈압환자|과민증경험자|전신성홍반성루푸스(SLE)및혼합결합조직질환(MCTD)|궤양성대장염|크론병환자|고령자|소아|위암환자는의사또는약사와상의하십시오.약물투여의중요성을고려하여수유를중단하거나약물투여를중단하십시오.이약복용후어지러움또는피로가나타날수있으므로운전및기계조작시주의하십시오.급성질환에장기복용할경우에는?원칙적으로5일이내로합니다.,다른비스테로이드성소염진통제|고용량의?메토트렉세이트와?함께복용하지마십시오.글루코코르티코이드|알코올|디곡신|페니토인|프로베네시드|설핀피라존|설포닐우레아제|이뇨제|?항고혈압제|ACE억제제|푸로세미드|아스피린|리튬|저용량의메토트렉세이트|쿠마린계항응고제(와파린등)와함께복용시?의사또는약사와상의하십시오.,드물게쇽증상(흉부불쾌감|오한|호흡곤란|혈압저하등)|재생불량성빈혈|용혈성빈혈|과립구감소|혈소판감소|혈소판기능저하(출혈시간연장)|호산구증다등의혈액장애|?소화성궤양위장출혈|천공|궤양성대장염|혈변|위염|췌장염|피부점막안증후군(스티븐스-존슨증후군)또는독성표피괴사용해(리엘증후군)|?천식발작의유발|두드러기|습진|자반|때때로발진|가려움증|?무시|암침등의시각장애|무균성수막염(심한두통|구역|구토|불면|목이뻣뻣함|발열또는의식장애등)|급성신부전|핍뇨(소변감소)|혈뇨|요단백|BUN|혈중크레아티닌의상승|고칼륨혈증등이?나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.때때로식욕부진|구역|구토|복통|소화불량|설사|위부불쾌감|?매우드물게구갈|구내염|복부팽만감|변비|?드물게황달|GOT|GPT|AL-P상승|?난청|이명|미각이상|?혈압저하|혈압상승|심계항진|요량감소|전신부종및이에수반한숨가쁨|나른함|?때때로안와주위부종|또한매우드물게권태감|발열|비출혈등이나타날수있습니다.?,빛을피해상온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
코디톱플라스타(디클로페낙디에틸암모늄),코오롱제약(주),디클로페낙디에틸암모늄,이약은변형성관절염|견관절주위염|건ㆍ건초염|건주위염|상완골상과염(테니스엘보우등)|외상후의종창ㆍ동통(타박|좌상|염좌등)|근육통의진통ㆍ소염에사용합니다.,1일1회약면의박리(벗겨내기)지를떼어낸후환부에부착합니다.,이약에과민증|아스피린천식(비스테로이드성소염진통제등에천식발작의유발)또는경험자는이약을사용하지마십시오.이약을사용하기전에기관지천식환자|감염을수반하는염증|만성질환(변형성관절염등)|프로필렌글리콜에과민증환자또는경험자|임부또는임신하고있을가능성이있는여성|소아는의사또는약사와상의하십시오.?눈및점막에는사용하지마십시오.,-,때때로발적|발진|가려움증|피부건조및자극감또는드물게종창|두드러기|호흡곤란등이나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.표피가결손되어있는경우에사용하면일시적으로피부가저리거나따끔거릴수있습니다.,빛을피해실온에서보관하십시오.
칼디텍정,동광제약(주),탄산칼슘|농축콜레칼시페롤과립,이약은임신·수유기|발육기|노년기의비타민D의보급|?뼈·이의발육불량|구루병의예방|칼슘결핍및기타칼슘의보급에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,이약에과민증환자|고칼슘혈증(혈액중에칼슘이과잉으로존재하는상태)|유육종증(원인을알수없는전신염증질환)|신장질환|만12개월미만의젖먹이|신장결석|심한증상의신부전|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에만1세미만의젖먹이|햇빛을많이보고정상적인식사를하는어린이|임부및임신하고있을가능성이있는여성및수유부|미숙아|유아|심장·순환기계기능장애|신장장애|저단백혈증|신장결석경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제와함께복용하지마십시오.이약을복용하기전에강심배당체를투여중인화자는의사또는약사와상의하십시오.항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|변비|저혈압|얼굴달아오름|심박동불규칙|피부발진등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
카르틴엘정(엘카르니틴),삼남제약(주),엘카르니틴,이약은1차성|2차성카르니틴결핍증과협심증|급성심근경색같은허혈성심질환에의한심근대사장애에사용합니다.,성인은1일2~3g을1일2~3회분할하여복용합니다.연령|증상에따라적절히증감할수있습니다.,이약또는대두유|콩|땅콩에과민증환자는이약을복용하지마십시오.이약을복용하기전에고지단백혈증|당뇨병성고지질혈증및췌장염등지방대사이상환자또는?지질성유제를신중히투여해야하는환자|지방과부하로특별한위험이예상되는환자|임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상의하십시오.,정주용지질제와함께사용시의사또는약사와상의하십시오.,일시적인구역|구토|복통|설사|체취|발진|두드러기|안면부종(얼굴부기)|가벼운증상의근무력증(근육무력증)이나타날수있습니다.,실온에서보관하십시오.
이덴트플러스캡슐,(주)씨엠지제약,리소짐염산염|아스코르브산|토코페롤아세테이트2배산|카르바조크롬,이약은치주치료후치은염|경·중등도치주염의보조치료에사용합니다.,성인은1회1캡슐|1일3회식후에복용합니다.,15세미만의소아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에이약에과민증환자|화장품또는달걀에과민증(발열|발진|관절통|천식|가려움등)경험자|알레르기체질인사람은의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.,-,발진|발적|설사|식욕부진|위부불쾌감|구역|구토|구내염|피부점막안증후군(스티븐스-존슨증후군)|독성표피괴사용해(발열|홍반|가려움|안충혈|구내염등의증상|전신의피부|입과목의점막에고열을동반하는발진·발적|화상모양의수종등의중증의증상)등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
다졸정(알벤다졸),아이큐어(주),알벤다졸,이약은회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회1정(400mg)씩|3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,이약에과민증환자|임부및임신하고있을가능성이있는여성및수유부|2세미만의소아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에간장애|신장애환자|황색5호에과민증환자또는경험자는의사또는약사와상의하십시오.,이약을복용하는동안테오필린|시메티딘|프라지콴텔|덱사메타손|리토나비르|페니토인|카르바마제핀|페노바르비탈을함께복용하지마십시오.,피부점막안증후군(스티븐스-존슨증후군)|다형홍반(여러모양의붉은반점)|구역|구토|속쓰림|설사|상복부(배부분)또는복부(배부분)통증|두통및어지럼|발열|전신발적(충혈되어붉어짐)|발진|가려움|두드러기등의과민반응|가역적인(회복가능한)탈모증등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
덱시엔연질캡슐(덱시부프로펜),에스케이케미칼(주),덱시부프로펜,이약은만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증|염증|통증및발열을수반하는감염증의치료보조에사용합니다.,성인은1회1캡슐(300mg)씩|1일2~4회복용합니다.단|1일4캡슐(1|200mg)을초과하지않습니다.,이약에과민증환자|위장관궤양또는경험자|위장관이나뇌혈관또는다른부위의출혈|?심한혈액이상|심한간장애|심한신장장애|심한심장기능부전|심한고혈압|기관지천식또는경험자|아스피린이나다른?비스테로이드성?소염진통제에?천식|두드러기또는알레르기반응경험자|관상동맥(심장동맥)우회로술(CABG)전후통증치료환자|임신6개월이상의임부|수유부|크론병또는궤양성대장염과같은염증성장질환환자|이전의비스테로이드성소염진통제치료로인해위장관출혈또는천공경험자는이약을복용하지마십시오.이약을복용하기전에혈액이상또는경험자|출혈경향이있는환자|간장애또는경험자|?신장애또는경험자|?체액저류(체액고임)또는심부전환자|고혈압|과민증경험자|전신성홍반성루푸스(SLE)및혼합결합조직질환(MCTD)|고령자|6세이상의어린이|위암|알코올중독환자|임신초·중기의임부및임신하고있을가능성이있는여성|허혈심장병|말초동맥질환|뇌혈관질환|심혈관질환의위험인자가있는환자(예|고혈압|고지혈증|당뇨병|흡연)|간성포르피린증|혈액부족을초래한중대한외과수술|혈액응고장애가있거나항응고제를투여받고있는환자는의사또는약사와상의하십시오.약물투여의중요성을고려하여수유를중단하거나약물투여를중단하십시오.이약복용후어지러움또는피로가나타날수있으므로운전및기계조작시주의하십시오.급성질환에장기복용할경우에는?원칙적으로5일이내로합니다.,아스피린|다른비스테로이드성소염진통제|항암요법으로사용하는고용량(15mg/주이상)의메토트렉세이트와함께복용하지마십시오.이약을복용하기전에코르티코스테로이드|알코올|디곡신|페니토인|프로베네시드|설핀피라존|설포닐우레아제|ACE억제제|?안지오텐신Ⅱ수용체길항제|이뇨제|리튬|쿠마린계항응고제(와르파린등)|바클로펜|면역억제제(시클로스포린|타크로리무스|시롤리무스)|혈전용해제|티클로피딘|항혈전제|혈중칼륨농도를증가시키는약물(트리메토프림|헤파린등)|CYP2C8|CYP2C9의유도제(예|리팜피신|페노바르비탈)|저용량(15mg/주미만)의메토트렉세이트|항혈소판제및선택적세로토닌재흡수억제제|심근경색이나뇌졸중예방목적으로저용량아스피린을복용하는사람은의사또는약사와상의하십시오.,드물게쇽(흉부불쾌감|오한|호흡곤란|혈압저하등)|드물게재생불량성빈혈|용혈성빈혈|과립백혈구감소|백혈구감소|무과립증|범혈구감소|혈소판감소|혈소판기능저하(출혈시간연장)|호산구중가등의혈액장애|소화불량|복부팽만|속쓰림|상복부의통증|설사나변비|때때로식욕부진|구역|구토|복통|위부불쾌감이나드물게식도염|식도협착|게실악화|비특이성출혈성대장염|궤양성대장염또는크론병|소화성궤양위장출혈|천공|혈변|위염|췌장염|매우드물게구갈|구내염|다형홍반|전신성홍반성루푸스(SLE)|탈모|때때로혈관부종|드물게피부점막안증후군(스티븐스-존슨증후군)및독성표피괴사용해(리엘증후군)|빈도불명의호산구증가및전신증후군을동반한약물발진(DRESS증후군)|때때로발진|두드러기|가려움|자색반|드물게천식발작의유발|습진|아나필락시스반응|광민감반응|드물게황달|ALT상승|AST상승|ALP상승|간기능이상|간염|황달|때때로비염|기관지경련|급성폐렴|드물게무시|암침등의시각장애|난청|이명|미각이상|피로|졸음|두통|어지러움|때때로불안|안절부절|착란|우울증|드물게무균성수막염|심한두통|구역|구토|불면|목이뻣뻣함|발열또는의식장애|드물게정신이상|초조|흥분|방향감각장애|가역성독성약시|드물게혈압저하|혈압상승|심계항진|핍뇨|혈뇨|요단백|BUN|혈중크레아티닌의상승|고칼륨혈증|요량감소|전신부종및이에수반한숨가쁨|나른함|드물게신장유두괴사|신증후군|간질신장염|말초부종|급성폐부종|체액저류|고혈압|심부전|여성의생식능력감소|때때로안와주위부종|매우드물게권태감|발열|코피|염증악화등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
